,date,Ticker,COMPANY,GICS Sector,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17,SDG_Mean,MA_7day_1,MA_7day_2,MA_7day_3,MA_7day_4,MA_7day_5,MA_7day_6,MA_7day_7,MA_7day_8,MA_7day_9,MA_7day_10,MA_7day_11,MA_7day_12,MA_7day_13,MA_7day_14,MA_7day_15,MA_7day_16,MA_7day_17,MA_7day_Mean,MA_60day_1,MA_60day_2,MA_60day_3,MA_60day_4,MA_60day_5,MA_60day_6,MA_60day_7,MA_60day_8,MA_60day_9,MA_60day_10,MA_60day_11,MA_60day_12,MA_60day_13,MA_60day_14,MA_60day_15,MA_60day_16,MA_60day_17,MA_60day_Mean,SDG_1_std,SDG_2_std,SDG_3_std,SDG_4_std,SDG_5_std,SDG_6_std,SDG_7_std,SDG_8_std,SDG_9_std,SDG_10_std,SDG_11_std,SDG_12_std,SDG_13_std,SDG_14_std,SDG_15_std,SDG_16_std,SDG_17_std,SDG_std_Mean,SDG_1_count,SDG_2_count,SDG_3_count,SDG_4_count,SDG_5_count,SDG_6_count,SDG_7_count,SDG_8_count,SDG_9_count,SDG_10_count,SDG_11_count,SDG_12_count,SDG_13_count,SDG_14_count,SDG_15_count,SDG_16_count,SDG_17_count,SDG_count_Mean
877,2018-12-28,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,2018-12-29,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,2018-12-30,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,2018-12-31,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,2019-01-01,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,-0.15564680846208528,0.3087741340450924,-0.18020530591217496,0.1481124521244641,-0.2416981679644942,,,,-0.1138715882996744,,0.015687852574302677,,,0.24633972958374026,,,,,0.23470342575012204,,0.24294385976167202,0.3594070098209243,,,,,0.12406658418094244,,0.28384812223383826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,2019-01-02,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,-0.15564680846208528,0.3087741340450924,-0.18020530591217496,0.1481124521244641,-0.2416981679644942,,,,-0.1138715882996744,,0.015687852574302677,,,0.24633972958374026,,,,,0.23470342575012204,,0.24294385976167202,0.3594070098209243,,,,,0.12406658418094244,,0.28384812223383826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,2019-01-03,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,-0.15564680846208528,0.3087741340450924,-0.18020530591217496,0.1481124521244641,-0.2416981679644942,,,,-0.1138715882996744,,0.015687852574302677,,,0.24633972958374026,,,,,0.23470342575012204,,0.24294385976167202,0.3594070098209243,,,,,0.12406658418094244,,0.28384812223383826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,2019-01-04,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,-0.15564680846208528,0.3087741340450924,-0.18020530591217496,0.1481124521244641,-0.2416981679644942,,,,-0.1138715882996744,,0.015687852574302677,,,0.24633972958374026,,,,,0.23470342575012204,,0.24294385976167202,0.3594070098209243,,,,,0.12406658418094244,,0.28384812223383826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,2019-01-05,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,-0.15564680846208528,0.3087741340450924,-0.18020530591217496,0.1481124521244641,-0.2416981679644942,,,,-0.1138715882996744,,0.015687852574302677,,,0.24633972958374026,,,,,0.23470342575012204,,0.24294385976167202,0.3594070098209243,,,,,0.12406658418094244,,0.28384812223383826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,2019-01-06,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,0.8183306055646479,,0.8183306055646479,,,,,,0.8183306055646479,,0.8183306055646479,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,2.0,,2.0,,,,,,2.0,,2.0,,,,,,,,1.0,,1.0,,,,,,1.0,,1.0
